Player 2 wins, left player points: 0, right player point: 1
Player 1 wins, left player points: 1, right player points: 0
Player 2 wins, left player points: 0, right player points: 1
Player 2 wins, left player points: 5, right player points: 8
Player 1 wins, left player points: 1, right player points: 0
Player 1 wins, left player points: 1, right player points: 0
Player 1 wins, left player points: 3, right player points: 1
Player 2 wins, left player points: 0, right player points: 1
Player 1 wins, left player points: 1, right player points: 0
Player 2 wins, left player points: 0, right player points: 1
Player 1 wins, left player points: 1, right player points: 0
Player 2 wins, left player points: 0, right player points: 1
Player 1 wins, left player points: 1, right player points: 0
Player 2 wins, left player points: 0, right player points: 1
Player 2 wins, left player points: 0, right player points: 1
Player 1 wins, left player points: 1, right player points: 0
Player 2 wins, left player points: 0, right player points: 1
Player 2 wins, left player points: 0, right player points: 1
Player 1 wins, left player points: 1, right player points: 0
Player 2 wins, left player points: 0, right player points: 1
Player 2 wins, left player points: 0, right player points: 1
Player 2 wins, left player points: 0, right player points: 1
Player 2 wins, left player points: 0, right player points: 1
Player 1 wins, left player points: 1, right player points: 0
Player 2 wins, left player points: 0, right player points: 1
Player 2 wins, left player points: 0, right player points: 1
Player 2 wins, left player points: 0, right player points: 1
Player 2 wins, left player points: 0, right player points: 1
Player 1 wins, left player points: 1, right player points: 0
Player 2 wins, left player points: 0, right player points: 1
Player 2 wins, left player points: 2, right player points: 3
